Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Left Edge","Jungle Wall > (11) Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107443410/left-edge,1.9,-1,Sport,5.10d,1,140,36.11776,-115.48996
"Jungle Wall","Jungle Wall > (11) Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106052597/jungle-wall,3.8,-1,Sport,5.11b,1,160,36.11776,-115.48996
"Big Bad Wolf","Riding Hood Wall > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107339211/big-bad-wolf,3.1,-1,Sport,5.9,3,220,36.14947,-115.42673
"The Woodsman","Riding Hood Wall > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/120094953/the-woodsman,2.8,-1,Sport,5.9,2,220,36.14947,-115.42673
"Town Dogs and Coyotes","Riding Hood Wall > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/116490330/town-dogs-and-coyotes,2.6,-1,Sport,5.9+,2,245,36.14947,-115.42673
"Side Effects","Lower Tier > Moderate Mecca > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105791450/side-effects,3.0,-1,Sport,5.10d,1,80,36.14202,-115.42093
"Feelin' Groovy","Lower Tier > Moderate Mecca > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107049462/feelin-groovy,3.0,-1,Sport,5.11a,1,50,36.14202,-115.42093
"Baby Swiss","Lower Tier > Moderate Mecca > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107049473/baby-swiss,2.7,-1,Sport,5.11b,1,55,36.14202,-115.42093
Immoral,"Upper Tier > Moderate Mecca > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107539675/immoral,2.3,-1,Sport,5.10c/d,1,80,36.14217,-115.42131
"A Man in Every Pot","Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105819734/a-man-in-every-pot,2.1,-1,Sport,5.8+,1,40,36.14903,-115.42296
"Mac and Ronnie in Cheese","Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105944541/mac-and-ronnie-in-cheese,2.2,-1,Sport,5.9+,1,50,36.14903,-115.42296
"What's Eating You","Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105944650/whats-eating-you,2.3,-1,Sport,5.10a,1,60,36.14903,-115.42296
Baseboy,"Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105944432/baseboy,2.4,-1,Sport,"5.10+ PG13",1,75,36.14903,-115.42296
"Baseboy (Bolted Variation)","Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105944445/baseboy-bolted-variation,2.8,-1,Sport,5.11-,1,75,36.14903,-115.42296
"Caustic Cock","Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105820098/caustic-cock,3.4,-1,Sport,5.11b,1,40,36.14903,-115.42296
"Have a Beer with Fear","Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105944620/have-a-beer-with-fear,2.7,-1,Sport,5.11b,1,60,36.14903,-115.42296
"Elbows of Mac and Ronnie","Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105944680/elbows-of-mac-and-ronnie,2.1,-1,Sport,5.11b,1,60,36.14903,-115.42296
"Pickled Cock","Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105944488/pickled-cock,3.0,-1,Sport,5.11c,1,50,36.14903,-115.42296
"Fear This","Cannibal Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107556606/fear-this,2.1,-1,Sport,5.11d,1,30,36.14903,-115.42296
"Welcome to N.I.M.B.Y. (Not In My Back Yard) Town","Red Springs Rock > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105889905/welcome-to-nimby-not-in-my-back-yard-town,2.0,-1,Sport,"5.8 PG13",1,70,36.14611,-115.42222
"Red Stringer","Red Springs Rock > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/126405269/red-stringer,2.0,-1,"Sport, TR",5.10b,1,80,36.14611,-115.42222
"Chin Diaper","Red Springs Rock > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/121919886/chin-diaper,3.3,-1,Sport,5.10b/c,1,50,36.14611,-115.42222
"Attack Dogs","Red Springs Rock > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105889918/attack-dogs,2.2,-1,Sport,5.10c,1,70,36.14611,-115.42222
"Boulder Dash","Red Springs Rock > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/111362585/boulder-dash,2.9,-1,Sport,5.11a/b,1,100,36.14611,-115.42222
"Truffle Mac n Cheese","Red Springs Rock > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/121919835/truffle-mac-n-cheese,2.0,-1,Sport,5.11b,1,50,36.14611,-115.42222
Mavericks,"Red Springs Rock > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/108872984/mavericks,2.6,-1,Sport,5.11+,1,95,36.14611,-115.42222
"Vuelo del Búho","Red Springs Rock > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/122089883/vuelo-del-buho,3.4,-1,Sport,5.11d,1,80,36.14611,-115.42222
"Adventure Guppies","Coco Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106776797/adventure-guppies,2.3,-1,Sport,5.8+,2,125,36.14645,-115.42297
"Moon Where the Wind Blows","Coco Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/108128281/moon-where-the-wind-blows,2.4,-1,Sport,5.9,1,65,36.14645,-115.42297
Cocopuss,"Coco Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105942208/cocopuss,3.2,-1,Sport,5.10-,1,80,36.14645,-115.42297
"Stupid Cat","Coco Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105942220/stupid-cat,2.8,-1,Sport,5.11a,1,70,36.14645,-115.42297
Snagglepuss,"Coco Crag > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/108781019/snagglepuss,3.5,-1,Sport,5.11a,1,80,36.14645,-115.42297
"Obie-One Keone","Red Springs Rock Lower Tier (aka Jabba the Hutt Rock) > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105946440/obie-one-keone,2.0,-1,"Sport, TR","5.8 R",1,60,36.14562,-115.42186
"Harristone Ford","Red Springs Rock Lower Tier (aka Jabba the Hutt Rock) > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/122089973/harristone-ford,2.1,-1,Sport,5.9-,1,60,36.14562,-115.42186
"Mark Handdrill","Red Springs Rock Lower Tier (aka Jabba the Hutt Rock) > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/122089979/mark-handdrill,2.4,-1,Sport,5.10a,1,60,36.14562,-115.42186
"No Bras in Space","Red Springs Rock Lower Tier (aka Jabba the Hutt Rock) > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/122143520/no-bras-in-space,2.5,-1,Sport,5.10b,1,75,36.14562,-115.42186
